,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
0,Tocayo (Open to Close),"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",25 Aug 2017,3
1,Red Bull Culture Clash Atlanta 2017,"<a class=""cat-rev"" href=""/club.aspx?id=122922"" title=""Club profile of 787 Windsor"">787 Windsor</a>"," 787 Windsor St SW, Atlanta, GA 30315, USA",25 Aug 2017,1
2,Official Pre - Party: Zemya Fest 2017 [Open Air],TBA - Atlanta,To Be Announced,26 Aug 2017,77
3,"Shabazz Palaces, Porter Ray, The Morkestra","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",26 Aug 2017,1
4,The Atlanta Weekender 2017,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",31 Aug 2017 ,6
5,Lil Louis Worldwide Exclusive Album Review,"<a class=""cat-rev"" href=""/club.aspx?id=36477"" title=""Club profile of 595 North"">595 North</a>"," 595 North Ave NW, Atlanta, GA 30318",31 Aug 2017,4
6,Distinctive Pres Omar S,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",1 Sep 2017,37
7,The Atlanta Weekender 2017,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",31 Aug 2017 ,6
8,"The Flashbulb, Richard Devine, Mesa","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",1 Sep 2017,2
9,The Atlanta Weekender 2017,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",31 Aug 2017 ,6
10,"Jack City with The Founding Father of House, Lil Louis","<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",2 Sep 2017,6
11,Expressions with Ash Lauryn and Stefan Ringer,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",2 Sep 2017,5
12,House In The Park 13,"<a class=""cat-rev"" href=""/club.aspx?id=66919"" title=""Club profile of Grant Park"">Grant Park</a>"," 840 Cherokee Ave. SE Atlanta, GA 30312",3 Sep 2017,10
13,The Atlanta Weekender 2017,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",31 Aug 2017 ,6
14,The Atlanta Weekender 2017,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",31 Aug 2017 ,6
15,Tocayo (Free with Rsvp),"<a class=""cat-rev"" href=""/club.aspx?id=137858"" title=""Club profile of Alibi"">Alibi</a>"," 956 Spring St. nw Atlanta, Ga 30309",8 Sep 2017,3
16,ACiD Fridays Welcomes: Orlando Voorn,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",8 Sep 2017,1
17,"Thriftworks, Modern Measure, Ployd, 10th Letter","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",8 Sep 2017,1
18,Zemya Fest 2017,TBA - Atlanta,To Be Announced,9 Sep 2017,132
19,Wildpitch on Wax: Vinyl All Night,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",9 Sep 2017,1
20,Panski's 'A Road Less Traveled' EP Release Party,"<a class=""cat-rev"" href=""/club.aspx?id=58620"" title=""Club profile of The W Hotel Whiskey Blue Buckhead"">The W Hotel Whiskey Blue Buckhead</a>"," 3377 Peachtree Rd., Atlanta, GA, 30326, USA",15 Sep 2017,1
21,Badbadnotgood,"<a class=""cat-rev"" href=""/club.aspx?id=11741"" title=""Club profile of Variety Playhouse"">Variety Playhouse</a>", Atlanta,20 Sep 2017,1
22,Sinjin Hawke and Zora Jones,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",20 Sep 2017,1
23,Ms.Mada (Club Space Miami),"<a class=""cat-rev"" href=""/club.aspx?id=137858"" title=""Club profile of Alibi"">Alibi</a>"," 956 Spring St. nw Atlanta, Ga 30309",22 Sep 2017,4
0,Chosen Few Djs presents Chosen Life ATL,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",23 Sep 2017,1
